% time	cellId	Interference
4.91193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
4.91193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.01193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.01193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.11193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.11193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.21193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.21193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.31193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.31193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.41193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.41193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.51193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
5.51193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
